Date,Close Price,Open Price,High Price,Low Price,Volume,Change %
2024-08-01,156.3,159.3,159.4,156.1,79150000.0,-2.56
2024-07-31,160.4,158.2,160.7,158.1,173910000.0,1.07
2024-07-30,158.7,158.8,159.2,158.0,138140000.0,-0.63
2024-07-29,159.7,158.7,160.2,158.4,126280000.0,1.14
2024-07-26,157.9,159.3,159.6,157.9,155080000.0,-0.13
2024-07-25,158.1,157.0,159.0,156.8,190620000.0,-0.25
2024-07-24,158.5,160.0,160.4,158.4,168570000.0,-1.37
2024-07-23,160.7,161.6,161.7,159.8,165790000.0,0.5
2024-07-22,159.9,159.5,159.9,157.9,136120000.0,0.57
2024-07-19,159.0,160.1,160.9,158.7,166570000.0,-1.12
2024-07-18,160.8,159.1,161.2,158.6,202730000.0,0.69
2024-07-17,159.7,157.5,159.9,157.4,181480000.0,1.59
2024-07-16,157.2,159.5,159.9,156.3,182230000.0,-0.95
2024-07-12,158.7,158.9,160.5,158.5,250560000.0,-0.5
2024-07-11,159.5,159.0,160.3,158.4,228260000.0,0.76
2024-07-10,158.3,156.2,158.3,155.7,226570000.0,1.15
2024-07-09,156.5,154.3,157.0,153.5,214950000.0,1.43
2024-07-08,154.3,155.0,155.3,152.9,250580000.0,-1.03
2024-07-05,155.9,157.5,157.6,155.7,199500000.0,-1.08
2024-07-04,157.6,159.0,159.1,157.2,220240000.0,-0.57
2024-07-03,158.5,157.0,158.5,156.7,262910000.00000003,1.47
2024-07-02,156.2,157.0,157.1,155.3,258890000.0,0.0
2024-07-01,156.2,154.1,156.4,153.2,285900000.0,2.9
2024-06-28,151.8,151.9,153.5,151.6,243810000.0,0.33
2024-06-27,151.3,150.4,151.3,149.7,210600000.0,0.0
2024-06-26,151.3,151.0,151.4,149.3,211790000.0,0.27
2024-06-25,150.9,149.4,150.9,148.6,210780000.0,1.0
2024-06-24,149.4,148.0,149.5,147.5,213450000.0,1.63
2024-06-21,147.0,146.0,148.6,146.0,244110000.0,0.68
2024-06-20,146.0,145.7,146.6,145.3,174170000.0,0.27
2024-06-19,145.6,145.5,145.8,144.4,199450000.0,0.07
2024-06-18,145.5,144.0,146.4,144.0,188530000.0,0.41
2024-06-17,144.9,145.2,146.5,144.5,234210000.0,-1.09
2024-06-14,146.5,146.0,146.9,145.4,421260000.0,-0.88
2024-06-13,147.8,148.0,148.4,147.0,288600000.0,-0.14
2024-06-12,148.0,149.9,150.0,147.6,362470000.0,-1.46
2024-06-11,150.2,150.5,151.6,150.2,171470000.0,-0.66
2024-06-10,151.2,150.4,151.4,149.5,205290000.0,0.8
2024-06-07,150.0,150.0,150.6,150.0,260570000.0,-0.86
2024-06-06,151.3,152.0,152.1,150.5,324090000.0,-0.79
2024-06-05,152.5,152.6,153.0,152.0,212280000.0,-1.1
2024-06-04,154.2,154.5,154.7,153.6,151720000.0,-0.52
2024-06-03,155.0,155.9,156.4,154.6,156840000.0,0.45
2024-05-31,154.3,152.0,154.7,152.0,301190000.0,1.38
2024-05-30,152.2,151.8,153.0,151.2,170570000.0,0.13
2024-05-29,152.0,153.6,154.4,152.0,215770000.0,-1.17
2024-05-28,153.8,156.2,156.8,153.2,236010000.0,-1.28
2024-05-27,155.8,153.5,155.8,152.9,217610000.0,2.1
2024-05-24,152.6,152.0,152.8,151.4,200560000.0,-0.13
2024-05-23,152.8,153.8,154.3,152.0,211370000.0,-1.1
2024-05-22,154.5,154.8,156.1,153.9,220480000.0,0.85
2024-05-21,153.2,153.0,153.3,152.3,206230000.0,0.92
2024-05-20,151.8,152.0,154.4,151.5,357280000.0,0.0
2024-05-17,151.8,152.0,156.5,151.6,417050000.0,-1.43
2024-05-16,154.0,156.7,157.6,153.4,381520000.0,-1.72
2024-05-15,156.7,158.1,159.0,156.7,322150000.0,-1.76
2024-05-14,159.5,160.0,161.3,159.5,289390000.0,-0.44
2024-05-13,160.2,160.1,161.6,160.0,318640000.0,-1.29
2024-05-10,162.3,169.0,170.1,160.9,437080000.0,-3.34
2024-05-09,167.9,168.1,169.2,167.9,130100000.0,-0.12
2024-05-08,168.1,170.1,170.6,168.1,132530000.0,-1.0
2024-05-07,169.8,170.5,170.8,168.8,144730000.0,-0.35
2024-05-02,170.4,171.0,171.0,169.6,123660000.0,-0.06
